0,1,2,3,4,5,6,7,8,9
LTB,LTB,TYROBP,HLA-DPB1,CCL5,LST1,NKG7,CST3,PPBP,KIAA0101
IL32,IL32,CST3,CD79A,NKG7,AIF1,CTSW,HLA-DPA1,GPX1,PSMD14
CD2,LDLRAP1,S100A8,HLA-DRB1,IL32,FCER1G,GNLY,HLA-DPB1,PF4,NDUFC2
GIMAP7,MAL,LGALS1,HLA-DPA1,CST7,CST3,GZMB,HLA-DRB1,SDPR,UQCRC1
AQP3,SCGB3A1,FCN1,CD79B,GZMA,COTL1,PRF1,HLA-DMA,NRGN,OTUB1
HINT1,TRABD2A,S100A6,HLA-DQA1,CTSW,TYROBP,GZMA,HLA-DQA1,CCL5,STOML2
GIMAP5,HINT1,AIF1,MS4A1,GZMK,CTSS,CST7,TYROBP,ARPC1B,HSP90AA1
MAL,TRAF3IP3,LST1,HLA-DQB1,PTPRCAP,SAT1,FGFBP2,GPX1,SPARC,TALDO1
FYB,CD2,LGALS2,CD37,GZMM,S100A11,FCGR3A,GSTP1,GNG11,SNRPB
PTPRCAP,CISH,FCER1G,TCL1A,LYAR,LGALS1,CD247,ARPC1B,RGS18,YWHAB
ITM2A,SELL,TYMP,LINC00926,KLRG1,IFITM3,SPON2,FCER1G,HIST1H2AC,PRPF31
TNFRSF4,ACAP1,GSTP1,LTB,GZMH,TYMP,UBB,S100A11,TPM4,UBE2E1
ACAP1,GIMAP5,GPX1,HLA-DMA,PRF1,NPC2,GZMM,HLA-DQB1,GP9,PCNA
GIMAP4,RP11-18H21.1,CTSS,HVCN1,HOPX,FCGR3A,SRGN,GRN,CD9,ARGLU1
TRAF3IP3,RIC3,SAT1,HLA-DMB,APOBEC3G,S100A6,TYROBP,LGALS1,CLU,ATP5A1
CRIP2,GIMAP7,S100A11,IRF8,SAMD3,HLA-DPA1,CCL4,FCER1A,SAT1,NDUFB8-1
GPR183,SRSF5,COTL1,FCRLA,CCL4,HLA-DRB1,FCER1G,H2AFY,AP001189.4,BIRC5
CORO1B,SNHG8,NPC2,EAF2,NCR3,SRGN,HOPX,SRGN,ITGA2B,SRSF3
PASK,MDS2,GRN,PTPRCAP,FGFBP2,ARPC1B,ID2,LST1,FERMT3,PSMB8
ICOS,FYB,MS4A6A,HLA-DOB,CD2,IFI30,CLIC3,TYMP,TMEM40,PDIA3
TNFRSF25,PASK,PYCARD,PKIG,TIGIT,PYCARD,PTPRCAP,LGALS2,TUBB1,HPRT1
ARL6IP5,ATP6V0E2,LGALS3,SNHG7,CD247,HLA-DPB1,GZMH,HLA-DMB,PTCRA,CKS1B
CD96,NOG,TALDO1,CD72,GIMAP7,ABI3,XCL2,COTL1,ACRBP,RALY
ILF3-AS1,AQP3,FCGRT,SMIM14,ID2,C1orf162,CCL5,FCGRT,TREML1,ARHGDIA
SRSF5,CARS,SRGN,P2RX5,KLRB1,FCN1,IGFBP7,CLEC10A,MYL9,BLOC1S1
TRABD2A,TTC3,NCF2,SPIB,GZMB,APOBEC3A,AKR1C3,PYCARD,NCOA4,NDUFB10
HSP90AA1,STK17A,CDA,KIAA0125,ARPC5L,FGL2,APOBEC3G,AIF1,MPP1,BUB3
IL23A,DNAJA3,ARPC1B,BLNK,SH2D1A,CDA,PRSS23,VAMP8,SEPT5,TCP1
ABRACL,BEX4,HLA-DRB1,CD19,FCRL6,LGALS3,XCL1,LAMTOR1,CA2,ATP5D
