,0,1,2,3,4,5,6,7,8,9,10,11,12
0,RPS27,CTSS,TTN,IL7R,CCL5,NKG7,CD79A,PSAP,RPS24,AIF1,MT-CO1,MALAT1,IL3RA
1,RPL32,MNDA,MTRNR2L12,IL32,NKG7,GNLY,CD37,CTSS,SLC25A6,LST1,MT-CO2,MNDA,CCDC50
2,RPL30,S100A6,AL031280.1,LTB,CST7,PRF1,CD79B,TYROBP,COTL1,PSAP,MT-CO3,ZFP36L2,UGCG
3,RPS12,PSAP,GOLGA8A,CD2,GZMM,KLRD1,MS4A1,AIF1,EEF1A1,FCER1G,MT-ND1,CTSS,HSP90B1
4,RPS3A,LYZ,ANKRD18A,CD3E,CD3D,CST7,BANK1,NEAT1,GRN,COTL1,MT-CYB,FYB1,TCF4
5,RPS6,FTL,AC136475.3,TRAC,KLRG1,CD247,RALGPS2,FGL2,RPL15,FTH1,MT-ND2,LYZ,MZB1
6,RPS29,TYROBP,CACNA1I,RPS27,IL32,GZMA,IGHM,FCN1,ATP5MC2,TYROBP,MT-ND3,SAMHD1,PLD4
7,RPS25,VCAN,ANKRD36C,RPS3,CD3E,KLRF1,TNFRSF13C,FTL,TMSB10,S100A11,MT-ATP6,TXNIP,ITM2C
8,LDHB,S100A9,CDC14A,RPS29,HCST,FGFBP2,LINC00926,FOSB,RPLP0,OAZ1,MT-ND4,NEAT1,IRF8
9,RPL21,CSF3R,SGPP2,SPOCK2,CD3G,CTSW,HLA-DQA1,LYZ,CD74,SERPINA1,MT-ATP8,FOS,IRF7
10,RPS27A,FCN1,TSHZ2,CD3D,CTSW,GZMB,CD74,H3F3A,RPS2,LYN,MT-ND5,PABPC1,ALOX5AP
11,RPL9,S100A8,MIAT,RPSA,B2M,HOPX,SWAP70,FTH1,RAC1,FTL,MTRNR2L12,VCAN,CD74
12,RPS15A,TALDO1,AC234582.1,CD3G,CD2,GZMM,CD22,LST1,RPL6,FCGR3A,MTRNR2L8,PSAP,JCHAIN
13,RPS5,S100A4,ATP8B2,RPL23A,RARRES3,TRDC,VPREB3,PABPC1,GAPDH,ARPC3,TFPI,CYBB,PPP1R14B
14,RPL13,CTSD,AC137932.3,RPS27A,GZMA,ABHD17A,ARHGAP24,SERPINA1,RPS11,YBX1,CSF3R,GRK2,GZMB
15,CCR7,TKT,AL022238.2,RPL14,GZMK,GZMH,FCRL1,LAPTM5,PABPC1,CTSS,AL157895.1,TMEM176B,SEC61B
16,RPS16,TSPO,ERBB3,LCK,STK17A,CCL5,IGHD,MT-ND2,RPL8,VASP,DEPTOR,JUND,NPC2
17,RPL34,APLP2,CCDC141,LDHB,PYHIN1,FCGR3A,CD40,NFKBIA,MT-CO1,CFD,CRHBP,DOCK8,APP
18,RPL11,CYBB,AC058791.1,RPL3,MALAT1,ADGRG1,P2RX5,COTL1,RPL23,MYL6,ZNF385D,NCF2,SSR4
19,RPL3,CD14,ARHGEF26,MALAT1,LYAR,SPON2,BLK,OAZ1,RPS9,SAT1,EGFL7,TKT,GNAS
20,CD3E,OAZ1,AC243965.1,PBXIP1,MATK,EFHD2,SPIB,CPVL,H3F3A,CD68,IGSF10,GNAI2,PARK7
21,RPS20,BRI3,FAM153A,RPS25,CD81,CLIC3,PDLIM1,CD68,RPL4,CYBA,ZNF521,CLEC12A,SPIB
22,RPL19,GRN,GSTO2,RPL36,APOBEC3G,ARL4C,FCRLA,RAC1,HLA-DMA,TMSB4X,NPR3,RPS24,SPCS1
23,RPS3,MYO1F,ANK3,RPL13A,SYNE2,KLRB1,PAX5,CD74,YBX1,TNFRSF1B,MTURN,HLA-E,PPIB
24,RPS14,S100A11,ANKRD36B,RPL41,LCK,APMAP,HLA-DOB,SAMHD1,RPLP1,ARPC2,ANKRD28,FTH1,PLP2
25,RPL35A,VSIR,MPRIP-AS1,GIMAP7,ABHD17A,RAP1B,BCL11A,LCP1,ARPC3,PTPN6,IGLL1,GMFG,SERPINF1
26,TCF7,CSTA,MIR99AHG,RPS12,HLA-C,APOBEC3G,SNX2,TYMP,RPL37A,SPI1,PRSS57,PTPRC,CYBA
27,RPS23,NCF2,Z98885.3,TRADD,GZMH,HLA-C,FAM129C,GNAI2,COX4I1,BRI3,FHL1,COPE,MAPKAPK2
28,SARAF,NCF1,AC026741.1,RPS18,CD8A,PLEKHF1,STRBP,GSTP1,RPL22,PTPRC,SMIM24,ITGB2,C12orf75
29,LEF1,AIF1,TENM1,TNFRSF25,HOPX,MATK,CXXC5,FOS,RPL7,ARPC1B,F2R,FCN1,SRP14
30,RPL38,NUP214,AC022726.2,RPL35,CLEC2D,TBX21,LTB,KLF4,RPL18A,S100A4,NBPF19,SH3BGRL,LILRA4
